,world_area,aspect_ratio,N,density,speed_mean,pause_ratio,wait_mean,mm_WDM,mm_RWP,mm_MapRoute,mm_Cluster,mm_Bus,mm_ShortestPath,mm_External,mm_Linear,transmitRange,contact_rate_proxy,event_interval_mean,event_size_mean,msgTtl,pattern_uniform,pattern_burst,pattern_hub_target,nrof_event_generators,bufferSize,transmitSpeed,workDayLength,timeDiffSTD,probGoShoppingAfterWork,nrOfMeetingSpots,nrOfOffices,officeSize,nrOfShops,ownCarProb,shopSize,officeWaitTime_mean,shoppingWaitTime_mean,eveningGroupSize_mean,eveningWaitTime_mean,afterShoppingStopTime_mean,clusterRange_mean,event2_interval_mean,event2_size_mean,Scenario.endTime,nrofHostGroups,has_active_times
U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,90.0,100000.0,7200.0,1,0,0,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,450.0,55000.0,21600.0,1,0,0,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,20.0,5500.0,7200.0,1,0,0,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,240.0,3000000.0,14400.0,1,0,0,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,90.0,55000.0,5.0,1,0,0,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,45.0,55000.0,7200.0,0,0,1,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,10.0,100000.0,7200.0,0,1,0,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,45.0,100000.0,7200.0,0,0,1,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,90.0,30000.0,7200.0,1,0,0,2,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,450.0,3000000.0,43200.0,2,0
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,63746480.0,0.883343143025309,81,1.2706583955694495,8.5,0.25,20.0,1,0,0,0,1,0,0,0,10.0,0.001080059636234032,7.5,300000.0,60.0,1,0,0,1,52000000.0,2400000.0,28800.0,1200.0,0.3,10.0,12.0,60.0,15.0,0.0,25.0,600.0,330.0,3.0,1050.0,330.0,,,,43200.0,2,0
