scenario_name,base_scenario,family,traffic_profile,scenario_end_time,first_creation_time_norm,median_creation_time_norm,last_creation_time_norm,pct_messages_first_10,pct_messages_last_10,recommended_valid_start_norm,recommended_valid_end_norm,cutoff_seconds,policy_status,notes
U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP01,43200,0.002014,0.502569,0.999144,9.7561,10.1626,0.0,1.0,38880.0,sensitivity_required,"window=full_simulation; ttl_s=432000; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP02,43200,0.007569,0.499155,0.994144,10.4167,10.4167,0.0,1.0,38880.0,sensitivity_required,"window=full_simulation; ttl_s=1296000; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP03,43200,0.000394,0.493287,0.999815,9.9639,9.9639,0.0,1.0,38880.0,ok,"window=full_simulation; ttl_s=432000; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP04,43200,0.006181,0.507292,0.998194,9.4972,10.0559,0.0,1.0,38880.0,sensitivity_required,"window=full_simulation; ttl_s=864000; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP05,43200,0.002014,0.502569,0.999144,9.7561,10.1626,0.0,1.0,38880.0,sensitivity_required,"window=full_simulation; ttl_s=300; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP06,43200,0.001319,0.498113,0.999375,10.0,10.2062,0.0,1.0,38880.0,sensitivity_required,"window=directional; ttl_s=432000; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP07,43200,0.200278,0.241609,0.279838,0.0,0.0,0.0,1.0,38880.0,burst_exception,"window=burst_only; ttl_s=432000; primary=full_window[0,1]; optional_censored_end=0.9; do_not_apply_late_cutoff"
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP08,43200,0.001319,0.498113,0.999375,10.0,10.2062,0.0,1.0,38880.0,sensitivity_required,"window=directional; ttl_s=432000; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP09,43200,0.002014,0.502569,0.999144,9.5238,10.2041,0.0,1.0,38880.0,sensitivity_required,"window=full_simulation; ttl_s=432000; primary=full_window[0,1]; optional_censored_end=0.9"
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,U1_CBD_Commuting_HelsinkiMedium,01_urban,TP10,43200,0.000162,0.500347,0.999931,10.1085,9.9303,0.0,1.0,38880.0,stress_profile,"window=full_simulation; ttl_s=3600; primary=full_window[0,1]; optional_censored_end=0.9; report_in_stress_tier"
