# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 42 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

S4_RandomMixing_NoHotspots  (# pares con |r|>=0.7: 6)
T9_BufferStress_SmallBufferHighTraffic  (# pares con |r|>=0.7: 5)
R10_TinyRange_5m  (# pares con |r|>=0.7: 4)
R11_SpeedExtremeLow  (# pares con |r|>=0.7: 4)
T4_VeryShortTtl_5to10min  (# pares con |r|>=0.7: 4)
T1_ManySmallMsgs_HighRate  (# pares con |r|>=0.7: 4)
S3_PeriodicMeetings_RegularRhythm  (# pares con |r|>=0.7: 4)
D6_ShortTtlCritical_5to10min  (# pares con |r|>=0.7: 3)
U4_CongestionHotspot_HelsinkiMedium  (# pares con |r|>=0.7: 3)
U7_HighTimeVariance_HelsinkiMedium  (# pares con |r|>=0.7: 3)
D7_HighLoad_TrafficStorm  (# pares con |r|>=0.7: 3)
R7_SparseTinyBuffer  (# pares con |r|>=0.7: 3)
R5_MountainRescue  (# pares con |r|>=0.7: 3)
T6_UniformSources_RandomFromTo  (# pares con |r|>=0.7: 3)
V1_TaxiLow_HelsinkiMedium  (# pares con |r|>=0.7: 3)
D5_UAVMule_FastRoute_HelsinkiMedium  (# pares con |r|>=0.7: 3)
D3_Aftershock_ErraticMobility  (# pares con |r|>=0.7: 2)
R4_ParkRangers_HelsinkiMedium  (# pares con |r|>=0.7: 2)
U6_OfficeWaitHeavyTail_HelsinkiMedium  (# pares con |r|>=0.7: 2)
D9_Critical_1minTTL  (# pares con |r|>=0.7: 2)
V2_TaxiHigh_HelsinkiMedium  (# pares con |r|>=0.7: 2)
S2_WeakCommunities_HighMixing  (# pares con |r|>=0.7: 2)
T5_VeryLongTtl_6to24h  (# pares con |r|>=0.7: 2)
V4_CarOwnership_0_HelsinkiMedium  (# pares con |r|>=0.7: 2)
U3_MicroMobility_HelsinkiMedium  (# pares con |r|>=0.7: 1)
R6_SparseLongRange  (# pares con |r|>=0.7: 1)
S5_TwoLayer_StudentsStaff  (# pares con |r|>=0.7: 1)
T12_TTL_Infinite_Buffer200M  (# pares con |r|>=0.7: 1)
R3_WildlifeTracking  (# pares con |r|>=0.7: 1)
D8_InfrastructureReturns_BackboneLinks  (# pares con |r|>=0.7: 1)
R1_Rural_RandomWaypoint  (# pares con |r|>=0.7: 1)
D2_PartitionedCity_MuleBridge  (# pares con |r|>=0.7: 1)
C5_Library_Quiet  (# pares con |r|>=0.7: 1)
R9_ExtremeRange_200m  (# pares con |r|>=0.7: 1)
D1_ShelterHotspots_Clusters  (# pares con |r|>=0.7: 1)
S1_StrongCommunities_SeparateClusters  (# pares con |r|>=0.7: 1)
T14_Buffer_200M  (# pares con |r|>=0.7: 1)
C2_ExamDay_LongStays  (# pares con |r|>=0.7: 1)
U5_WorkdayShort_HelsinkiMedium  (# pares con |r|>=0.7: 1)
T7_TargetedToHubs_FewDestinations  (# pares con |r|>=0.7: 1)
T10_HighRateLowSpeed_Congestion  (# pares con |r|>=0.7: 1)
T11_TTL_1min  (# pares con |r|>=0.7: 1)
